PUMA,NAME,variable,estimate,moe,summary_est,summary_moe,relfreq
0100400,"DeKalb & Jackson Counties PUMA, Alabama",Retail trade,5536,550,49991,1094,0.11073993318797383
0100400,"DeKalb & Jackson Counties PUMA, Alabama","Transportation and warehousing, and utilities",3028,449,49991,1094,0.06057090276249725
0100400,"DeKalb & Jackson Counties PUMA, Alabama",Information,487,152,49991,1094,0.009741753515632813
0100400,"DeKalb & Jackson Counties PUMA, Alabama","Finance and insurance, and real estate, and rental and leasing",1827,308,49991,1094,0.03654657838410914
0100400,"DeKalb & Jackson Counties PUMA, Alabama","Professional, scientific, and management, and administrative, and waste management services",3142,397,49991,1094,0.06285131323638254
0100400,"DeKalb & Jackson Counties PUMA, Alabama","Educational services, and health care and social assistance",9183,656,49991,1094,0.1836930647516553
0100400,"DeKalb & Jackson Counties PUMA, Alabama","Arts, entertainment, and recreation, and accommodation and food services",2920,394,49991,1094,0.05841051389250065
0100400,"DeKalb & Jackson Counties PUMA, Alabama","Other services, except public administration",2400,317,49991,1094,0.048008641555479986
0100400,"DeKalb & Jackson Counties PUMA, Alabama",Public administration,1857,290,49991,1094,0.03714668640355264
0100500,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama","Agriculture, forestry, fishing and hunting, and mining",1001,315,53246,1134,0.018799534237313602
0100500,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama",Construction,4434,522,53246,1134,0.0832738609473012
0100500,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama",Manufacturing,10446,710,53246,1134,0.19618375089208578
0100500,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama",Wholesale trade,1315,271,53246,1134,0.02469669083123615
0100500,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama",Retail trade,5325,463,53246,1134,0.10000751230139353
0100500,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama","Transportation and warehousing, and utilities",2522,345,53246,1134,0.04736506028621868
0100500,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama",Information,871,268,53246,1134,0.01635803628441573
0100500,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama","Finance and insurance, and real estate, and rental and leasing",2067,357,53246,1134,0.038819817451076134
0100500,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama","Professional, scientific, and management, and administrative, and waste management services",6332,731,53246,1134,0.11891973105961011
0100500,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama","Educational services, and health care and social assistance",10188,769,53246,1134,0.19133831649325772
0100500,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama","Arts, entertainment, and recreation, and accommodation and food services",3526,463,53246,1134,0.06622093678398377
0100500,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama","Other services, except public administration",2567,330,53246,1134,0.048210194192991024
0100500,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama",Public administration,2652,356,53246,1134,0.049806558239116554
0100600,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama","Agriculture, forestry, fishing and hunting, and mining",558,193,64348,1308,0.008671598184869771
0100600,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama",Construction,5306,639,64348,1308,0.08245788524895879
0100600,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama",Manufacturing,13771,912,64348,1308,0.2140082053832287
0100600,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama",Wholesale trade,1571,296,64348,1308,0.02441412320507242
0100600,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama",Retail trade,7544,713,64348,1308,0.11723752097967302
0100600,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama","Transportation and warehousing, and utilities",3072,412,64348,1308,0.04774041151240132
0100600,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama",Information,812,265,64348,1308,0.012618884813824827
0100600,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama","Finance and insurance, and real estate, and rental and leasing",2514,360,64348,1308,0.039068813327531544
0100600,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama","Professional, scientific, and management, and administrative, and waste management services",5425,612,64348,1308,0.08430720457512277
0100600,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama","Educational services, and health care and social assistance",12932,786,64348,1308,0.20096972710884564
0100600,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama","Arts, entertainment, and recreation, and accommodation and food services",5034,488,64348,1308,0.07823086964629826
0100600,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama","Other services, except public administration",3270,400,64348,1308,0.05081743022316156
0100600,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama",Public administration,2539,327,64348,1308,0.039457325791011376
0100700,"Cullman & Winston Counties PUMA, Alabama","Agriculture, forestry, fishing and hunting, and mining",907,198,43348,1046,0.02092368736735259
0100700,"Cullman & Winston Counties PUMA, Alabama",Construction,4313,494,43348,1046,0.09949709329150133
0100700,"Cullman & Winston Counties PUMA, Alabama",Manufacturing,7625,652,43348,1046,0.17590200239918796
0100700,"Cullman & Winston Counties PUMA, Alabama",Wholesale trade,1165,217,43348,1046,0.02687551905508905
0100700,"Cullman & Winston Counties PUMA, Alabama",Retail trade,6011,538,43348,1046,0.13866845067823197
0100700,"Cullman & Winston Counties PUMA, Alabama","Transportation and warehousing, and utilities",3211,344,43348,1046,0.07407492848574329
0100700,"Cullman & Winston Counties PUMA, Alabama",Information,338,131,43348,1046,0.007797360893236136
0100700,"Cullman & Winston Counties PUMA, Alabama","Finance and insurance, and real estate, and rental and leasing",1584,285,43348,1046,0.036541478268893604
0100700,"Cullman & Winston Counties PUMA, Alabama","Professional, scientific, and management, and administrative, and waste management services",2794,436,43348,1046,0.06445510750207623
0100700,"Cullman & Winston Counties PUMA, Alabama","Educational services, and health care and social assistance",8887,599,43348,1046,0.20501522561594537
0100700,"Cullman & Winston Counties PUMA, Alabama","Arts, entertainment, and recreation, and accommodation and food services",3007,403,43348,1046,0.0693688290117191
0100700,"Cullman & Winston Counties PUMA, Alabama","Other services, except public administration",2203,313,43348,1046,0.050821260496447355
0100700,"Cullman & Winston Counties PUMA, Alabama",Public administration,1303,249,43348,1046,0.03005905693457599
0100800,"St. Clair & Blount Counties PUMA, Alabama","Agriculture, forestry, fishing and hunting, and mining",870,202,60584,1295,0.014360227122672653
0100800,"St. Clair & Blount Counties PUMA, Alabama",Construction,6246,706,60584,1295,0.10309652713587746
0100800,"St. Clair & Blount Counties PUMA, Alabama",Manufacturing,9922,780,60584,1295,0.16377261323121617
0100800,"St. Clair & Blount Counties PUMA, Alabama",Wholesale trade,3103,621,60584,1295,0.051218143404199126
0100800,"St. Clair & Blount Counties PUMA, Alabama",Retail trade,6453,640,60584,1295,0.10651327083058233
0100800,"St. Clair & Blount Counties PUMA, Alabama","Transportation and warehousing, and utilities",3717,453,60584,1295,0.06135283243100489
0100800,"St. Clair & Blount Counties PUMA, Alabama",Information,760,172,60584,1295,0.012544566222104847
0100800,"St. Clair & Blount Counties PUMA, Alabama","Finance and insurance, and real estate, and rental and leasing",3277,380,60584,1295,0.05409018882873366
0100800,"St. Clair & Blount Counties PUMA, Alabama","Professional, scientific, and management, and administrative, and waste management services",5166,610,60584,1295,0.08527003829393899
0100800,"St. Clair & Blount Counties PUMA, Alabama","Educational services, and health care and social assistance",11691,820,60584,1295,0.1929717417139839
0100800,"St. Clair & Blount Counties PUMA, Alabama","Arts, entertainment, and recreation, and accommodation and food services",3362,516,60584,1295,0.05549319952462697
0100800,"St. Clair & Blount Counties PUMA, Alabama","Other services, except public administration",3317,474,60584,1295,0.05475042915621286
0100800,"St. Clair & Blount Counties PUMA, Alabama",Public administration,2700,459,60584,1295,0.04456622210484616
0100900,"Etowah County PUMA, Alabama","Agriculture, forestry, fishing and hunting, and mining",219,96,42650,1117,0.005134818288393904
0100900,"Etowah County PUMA, Alabama",Construction,2548,352,42650,1117,0.05974208675263775
0100900,"Etowah County PUMA, Alabama",Manufacturing,8096,584,42650,1117,0.18982415005861664
0100900,"Etowah County PUMA, Alabama",Wholesale trade,1024,219,42650,1117,0.024009378663540446
0100900,"Etowah County PUMA, Alabama",Retail trade,5188,552,42650,1117,0.12164126611957796
0100900,"Etowah County PUMA, Alabama","Transportation and warehousing, and utilities",2032,310,42650,1117,0.04764361078546307
0100900,"Etowah County PUMA, Alabama",Information,656,185,42650,1117,0.015381008206330598
0100900,"Etowah County PUMA, Alabama","Finance and insurance, and real estate, and rental and leasing",1790,330,42650,1117,0.04196951934349355
0100900,"Etowah County PUMA, Alabama","Professional, scientific, and management, and administrative, and waste management services",2381,392,42650,1117,0.05582649472450176
0100900,"Etowah County PUMA, Alabama","Educational services, and health care and social assistance",9680,771,42650,1117,0.22696365767878077
0100900,"Etowah County PUMA, Alabama","Arts, entertainment, and recreation, and accommodation and food services",4366,545,42650,1117,0.10236811254396248
0100900,"Etowah County PUMA, Alabama","Other services, except public administration",2459,371,42650,1117,0.05765533411488863
0100900,"Etowah County PUMA, Alabama",Public administration,2211,318,42650,1117,0.051840562719812425
0101000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA; Alabama","Agriculture, forestry, fishing and hunting, and mining",1531,286,61144,1010,0.02503925160277378
0101000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA; Alabama",Construction,4596,537,61144,1010,0.07516681931178856
0101000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA; Alabama",Manufacturing,14255,854,61144,1010,0.2331381656417637
0101000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA; Alabama",Wholesale trade,1195,254,61144,1010,0.01954402721444459
0101000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA; Alabama",Retail trade,6818,635,61144,1010,0.11150726154651315
0101000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA; Alabama","Transportation and warehousing, and utilities",3939,510,61144,1010,0.06442169305246631
0101000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA; Alabama",Information,698,187,61144,1010,0.01141567447337433
0101000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA; Alabama","Finance and insurance, and real estate, and rental and leasing",2573,347,61144,1010,0.0420809891403899
0101000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA; Alabama","Professional, scientific, and management, and administrative, and waste management services",3166,424,61144,1010,0.051779405992411355
0101000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA; Alabama","Educational services, and health care and social assistance",12833,844,61144,1010,0.2098815909982991
0101000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA; Alabama","Arts, entertainment, and recreation, and accommodation and food services",4231,522,61144,1010,0.0691973047232762
0101000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA; Alabama","Other services, except public administration",2098,339,61144,1010,0.034312442758079285
0101000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA; Alabama",Public administration,3211,417,61144,1010,0.05251537354441973
0101100,"Calhoun County PUMA, Alabama","Agriculture, forestry, fishing and hunting, and mining",673,246,47896,1016,0.014051277768498413
0101100,"Calhoun County PUMA, Alabama",Construction,2724,349,47896,1016,0.05687322532152998
0101100,"Calhoun County PUMA, Alabama",Manufacturing,8498,635,47896,1016,0.1774260898613663
0101100,"Calhoun County PUMA, Alabama",Wholesale trade,1160,275,47896,1016,0.024219141473191916
0101100,"Calhoun County PUMA, Alabama",Retail trade,6172,623,47896,1016,0.1288625354935694
0101100,"Calhoun County PUMA, Alabama","Transportation and warehousing, and utilities",2164,279,47896,1016,0.045181225989644226
0101100,"Calhoun County PUMA, Alabama",Information,694,197,47896,1016,0.014489727743444128
0101100,"Calhoun County PUMA, Alabama","Finance and insurance, and real estate, and rental and leasing",2054,320,47896,1016,0.0428845832637381
0101100,"Calhoun County PUMA, Alabama","Professional, scientific, and management, and administrative, and waste management services",3502,490,47896,1016,0.07311675296475698
0101100,"Calhoun County PUMA, Alabama","Educational services, and health care and social assistance",10373,762,47896,1016,0.21657340905294806
0101100,"Calhoun County PUMA, Alabama","Arts, entertainment, and recreation, and accommodation and food services",4044,491,47896,1016,0.08443293803240354
0101100,"Calhoun County PUMA, Alabama","Other services, except public administration",2405,389,47896,1016,0.050212961416402205
0101100,"Calhoun County PUMA, Alabama",Public administration,3433,373,47896,1016,0.07167613161850676
0101200,"Shelby County PUMA, Alabama","Agriculture, forestry, fishing and hunting, and mining",935,185,106839,1224,0.008751485880624117
0101200,"Shelby County PUMA, Alabama",Construction,6627,606,106839,1224,0.06202791115603853
0101200,"Shelby County PUMA, Alabama",Manufacturing,8378,822,106839,1224,0.07841705744157096
0101200,"Shelby County PUMA, Alabama",Wholesale trade,4012,463,106839,1224,0.037551830324132576
0101200,"Shelby County PUMA, Alabama",Retail trade,11659,791,106839,1224,0.1091268169863065
0101200,"Shelby County PUMA, Alabama","Transportation and warehousing, and utilities",6434,581,106839,1224,0.06022145471223055
0101200,"Shelby County PUMA, Alabama",Information,2448,326,106839,1224,0.02291298121472496
0101200,"Shelby County PUMA, Alabama","Finance and insurance, and real estate, and rental and leasing",11621,835,106839,1224,0.10877114162431321
0101200,"Shelby County PUMA, Alabama","Professional, scientific, and management, and administrative, and waste management services",12912,721,106839,1224,0.12085474405413753
0101200,"Shelby County PUMA, Alabama","Educational services, and health care and social assistance",22646,1101,106839,1224,0.21196379599210027
0101200,"Shelby County PUMA, Alabama","Arts, entertainment, and recreation, and accommodation and food services",8936,723,106839,1224,0.08363986933610386
0101200,"Shelby County PUMA, Alabama","Other services, except public administration",6344,601,106839,1224,0.05937906569698331
0101200,"Shelby County PUMA, Alabama",Public administration,3887,447,106839,1224,0.036381845580733624
0101301,"Birmingham City (West) PUMA, Alabama","Agriculture, forestry, fishing and hunting, and mining",62,43,36149,1365,0.0017151235165564745
0101301,"Birmingham City (West) PUMA, Alabama",Construction,2099,428,36149,1365,0.058065230020194196
0101301,"Birmingham City (West) PUMA, Alabama",Manufacturing,3729,496,36149,1365,0.10315638053611441
0101301,"Birmingham City (West) PUMA, Alabama",Wholesale trade,941,229,36149,1365,0.026031148856123267
0101301,"Birmingham City (West) PUMA, Alabama",Retail trade,3996,470,36149,1365,0.1105424769703173
0101301,"Birmingham City (West) PUMA, Alabama","Transportation and warehousing, and utilities",2062,366,36149,1365,0.05704168856676533
0101301,"Birmingham City (West) PUMA, Alabama",Information,689,254,36149,1365,0.019060001659796953
0101301,"Birmingham City (West) PUMA, Alabama","Finance and insurance, and real estate, and rental and leasing",2106,335,36149,1365,0.05825887299786993
0101301,"Birmingham City (West) PUMA, Alabama","Professional, scientific, and management, and administrative, and waste management services",3556,510,36149,1365,0.09837063265927135
0101301,"Birmingham City (West) PUMA, Alabama","Educational services, and health care and social assistance",8832,769,36149,1365,0.24432211126172232
0101301,"Birmingham City (West) PUMA, Alabama","Arts, entertainment, and recreation, and accommodation and food services",4305,547,36149,1365,0.11909043127057457
0101301,"Birmingham City (West) PUMA, Alabama","Other services, except public administration",1931,331,36149,1365,0.05341779855597665
0101301,"Birmingham City (West) PUMA, Alabama",Public administration,1841,320,36149,1365,0.050928103128717254
0101302,"Birmingham City (East) PUMA, Alabama","Agriculture, forestry, fishing and hunting, and mining",191,119,47928,1408,0.003985144383241529
0101302,"Birmingham City (East) PUMA, Alabama",Construction,2110,309,47928,1408,0.04402436988816558
0101302,"Birmingham City (East) PUMA, Alabama",Manufacturing,4020,510,47928,1408,0.08387581372058087
0101302,"Birmingham City (East) PUMA, Alabama",Wholesale trade,1033,247,47928,1408,0.021553163077950258
0101302,"Birmingham City (East) PUMA, Alabama",Retail trade,5122,536,47928,1408,0.10686863628776498
0101302,"Birmingham City (East) PUMA, Alabama","Transportation and warehousing, and utilities",2004,345,47928,1408,0.04181271907861793
0101302,"Birmingham City (East) PUMA, Alabama",Information,1134,232,47928,1408,0.023660490736104156
0101302,"Birmingham City (East) PUMA, Alabama","Finance and insurance, and real estate, and rental and leasing",3142,390,47928,1408,0.06555666833583709
0101302,"Birmingham City (East) PUMA, Alabama","Professional, scientific, and management, and administrative, and waste management services",6095,475,47928,1408,0.12716992154899015
0101302,"Birmingham City (East) PUMA, Alabama","Educational services, and health care and social assistance",13558,947,47928,1408,0.2828826573193123
0101302,"Birmingham City (East) PUMA, Alabama","Arts, entertainment, and recreation, and accommodation and food services",5445,615,47928,1408,0.1136079118678017
0101302,"Birmingham City (East) PUMA, Alabama","Other services, except public administration",2631,360,47928,1408,0.05489484226339509
0101302,"Birmingham City (East) PUMA, Alabama",Public administration,1443,308,47928,1408,0.03010766149223836
0101303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA; Alabama","Agriculture, forestry, fishing and hunting, and mining",516,197,89730,1566,0.0057505850885991305
0101303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA; Alabama",Construction,4257,648,89730,1566,0.04744232698094283
0101303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA; Alabama",Manufacturing,6267,553,89730,1566,0.0698428619190906
0101303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA; Alabama",Wholesale trade,2773,348,89730,1566,0.030903822578847655
0101303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA; Alabama",Retail trade,8841,812,89730,1566,0.09852892009361418
0101303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA; Alabama","Transportation and warehousing, and utilities",3460,385,89730,1566,0.03856012481890115
0101303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA; Alabama",Information,2269,336,89730,1566,0.02528697202719269
0101303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA; Alabama","Finance and insurance, and real estate, and rental and leasing",9657,679,89730,1566,0.10762286860581745
0101303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA; Alabama","Professional, scientific, and management, and administrative, and waste management services",12125,707,89730,1566,0.13512760503733423
0101303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA; Alabama","Educational services, and health care and social assistance",23765,1020,89730,1566,0.2648501058731751
0101303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA; Alabama","Arts, entertainment, and recreation, and accommodation and food services",8080,771,89730,1566,0.090047921542405
0101303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA; Alabama","Other services, except public administration",4892,558,89730,1566,0.05451911289423827
0101303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA; Alabama",Public administration,2828,457,89730,1566,0.031516772539841746
0101304,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities PUMA; Alabama","Agriculture, forestry, fishing and hunting, and mining",408,162,79812,1659,0.005112013231093069
0101304,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities PUMA; Alabama",Construction,4593,458,79812,1659,0.05754773718237859
0101304,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities PUMA; Alabama",Manufacturing,8243,742,79812,1659,0.10328020848995138
0101304,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities PUMA; Alabama",Wholesale trade,2764,325,79812,1659,0.03463138375181677
0101304,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities PUMA; Alabama",Retail trade,9100,777,79812,1659,0.1140179421640856
0101304,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities PUMA; Alabama","Transportation and warehousing, and utilities",5912,498,79812,1659,0.07407407407407407
0101304,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities PUMA; Alabama",Information,1834,426,79812,1659,0.0229790006515311
